613,"28,637","11,314","3,804","2,536","10,675","4,808","14,122","3,955",[note 1][13]
606,"28,634","11,314","3,804","2,536","10,672","4,808","14,122","3,955",[note 2][14]
599,"28,635","11,314","3,805","2,536","10,672","4,808","14,122","3,955",[note 3][15]
592,"28,607","11,314","3,810","2,536","10,672","4,808","14,089","3,955",[note 4][16]
582,"28,539","11,298","3,806","2,535","10,672","4,808","14,061","3,955",[note 5][17]
575,"28,476","11,298","3,803","2,535","10,672","4,808","14,001","3,955",[18]
568,"28,454","11,297","3,800","2,534","10,672","4,808","13,982","3,955",[note 6][19]
554,"28,388","11,296","3,805","2,533","10,672","4,808","13,911","3,955",[20]
547,"28,295","11,295","3,800","2,532","10,672","4,808","13,823","3,955",[21]
540,"28,220","11,291","3,792","2,530","10,672","4,808","13,756","3,953",[22]
533,"28,147","11,291","3,792","2,530","10,672","4,808","13,683","3,953",[23]
526,"28,073","11,290","3,792","2,529","10,672","4,808","13,609","3,953",[24]
512,"27,952","11,284","3,786","2,524","10,672","4,808","13,494","3,952",[25]
505,"27,929","11,283","3,787","2,524","10,672","4,808","13,470","3,951",[26]
491,"27,748","11,279","3,786","2,520","10,672","4,808","13,290","3,951",[27]
477,"27,642","11,261","3,760","2,506","10,673","4,808","13,209","3,947",[28]
470,"27,573","11,246","3,748","2,499","10,670","4,807","13,155","3,940",[note 7][29][30]
463,"27,514","11,220","3,729","2,482","10,666","4,806","13,119","3,932",[31]
456,"27,443","11,207","3,718","2,473","10,666","4,806","13,059","3,924",[32]
449,"27,305","11,169","3,674","2,444","10,666","4,806","12,965","3,919",[33]
435,"27,110","11,132","3,652","2,429","10,666","4,806","12,827","3,912",[34]
421,"26,898","11,105","3,635","2,407","10,666","4,806","12,632","3,907",[35]
407,"26,558","10,990","3,589","2,386","10,564","4,716","12,440","3,903",[36]
393,"26,009","10,793","3,565","2,358","10,212","4,573","12,267","3,877",[37]
379,"25,480","10,557","3,515","2,333","9,862","4,408","12,138","3,831",[38]
365,"24,837","10,296","3,429","2,263","9,602","4,301","11,841","3,747",[39]
351,"24,282","9,976","3,285","2,170","=9,343","=4,162","11,619","3,629",[40]
337,"23,659","9,574","3,155","2,091","9,238","4,037","11,301","3,461",[41]
323,"22,824","9,147","3,044","1,995","=8,881","=3,826","10,934","3,341",[42]
309,"22,022","8,780","2,917","1,910","8,622","3,686","10,518","3,199",[43]
295,"21,226","8,399","2,806","1,814","8,331","3,538","10,124","3,062",[44]
281,"20,171","7,890","2,707","1,709","8,018","3,423","9,446","2,758",[45]
267,"18,565","7,273","2,415","1,525","7,819","3,346","8,356","2,417",[46][47][48]
253,"17,110","6,397","2,164","1,325","7,653","3,157","7,312","1,915",[49][50][51]
241,"15,291","5,765","2,047","1,214","7,082","2,963","6,190","1,598",[52][53]
225,"13,015","5,188","1,731","1,041","6,525","2,697","4,759","1,450",[54][55]
211,"9,911","4,890","1,540",926,"4,665","2,705","3,706","1,259",[56]
204,"8,950","4,476","1,472",843,"4,249","2,458","3,252","1,183",[57]
190,"7,169","3,278","1,157",710,"3,696","1,998","2,317",570,[58][59]
176,"5,327","2,578",942,601,"2,720","1,461","1,655",516,[60][61][62]
162,"3,664","1,794",771,494,"1,698",871,"1,216",436,[63][64]
147,"2,225","1,225",543,394,834,466,848,365,[65]
140,"1,835","1,011",506,373,599,323,730,315,[66]
130,"1,437",825,472,346,391,227,574,252,[67]
123,"1,201",672,427,319,249,129,525,224,[68]
114,982,613,411,310,174,106,397,197,[69]
102,779,481,412,305,115,75,252,101,[70]
87,528,337,398,264,33,24,97,49,[71]
66,309,202,281,186,12,11,16,5,[72]
51,260,182,248,171,12,11,–,–,[73][74]
40,239,160,226,149,13,11,–,–,[75]
23,176,110,168,108,8,2,–,–,[76]
9,130,82,122,80,8,2,–,–,[77]
0,49,29,49,29,–,–,–,–,[78]
